Date,State,Num_of_Arrivals
1998-08-01,TAS,990
1998-08-01,Total,323680
1998-08-01,VIC,37190
1998-08-01,WA,27450
1998-09-01,ACT,2530
1998-09-01,NSW,130130
1998-09-01,NT,5580
1998-09-01,QLD,100840
1998-09-01,SA,5640
1998-09-01,TAS,900
1998-09-01,Total,323860
1998-09-01,VIC,48670
1998-09-01,WA,28810
1998-10-01,ACT,1670
1998-10-01,NSW,142370
1998-10-01,NT,5610
1998-10-01,QLD,103140
1998-10-01,SA,6980
1998-10-01,TAS,1840
1998-10-01,Total,354750
1998-10-01,VIC,56360
1998-10-01,WA,35710
1998-11-01,ACT,2420
1998-11-01,NSW,150000
1998-11-01,NT,3780
1998-11-01,QLD,101040
1998-11-01,SA,9310
1998-11-01,TAS,1930
1998-11-01,Total,367910
1998-11-01,VIC,59560
1998-11-01,WA,38800
1998-12-01,ACT,3230
1998-12-01,NSW,185430
1998-12-01,NT,4380
1998-12-01,QLD,122590
1998-12-01,SA,13180
1998-12-01,TAS,3880
1998-12-01,Total,457640
1998-12-01,VIC,76160
1998-12-01,WA,47400
1999-01-01,ACT,2170
1999-01-01,NSW,143420
1999-01-01,NT,3400
1999-01-01,QLD,99240
1999-01-01,SA,8660
1999-01-01,TAS,2840
1999-01-01,Total,350980
1999-01-01,VIC,56450
1999-01-01,WA,33950
1999-02-01,ACT,2970
1999-02-01,NSW,168570
1999-02-01,NT,4010
1999-02-01,QLD,101990
1999-02-01,SA,10360
1999-02-01,TAS,2710
1999-02-01,Total,398570
1999-02-01,VIC,65440
1999-02-01,WA,41510
1999-03-01,ACT,3090
1999-03-01,NSW,164200
1999-03-01,NT,3510
1999-03-01,QLD,104610
1999-03-01,SA,8530
1999-03-01,TAS,2310
1999-03-01,Total,389020
1999-03-01,VIC,63520
1999-03-01,WA,38090
1999-04-01,ACT,2360
1999-04-01,NSW,143260
1999-04-01,NT,2810
1999-04-01,QLD,95870
1999-04-01,SA,7190
1999-04-01,TAS,1420
1999-04-01,Total,334130
1999-04-01,VIC,47940
1999-04-01,WA,32380
1999-05-01,ACT,1850
1999-05-01,NSW,118190
1999-05-01,NT,4260
1999-05-01,QLD,96570
1999-05-01,SA,6670
1999-05-01,TAS,1270
1999-05-01,Total,298130
1999-05-01,VIC,40910
1999-05-01,WA,27520
1999-06-01,ACT,2400
1999-06-01,NSW,118770
1999-06-01,NT,4440
1999-06-01,QLD,110800
1999-06-01,SA,6750
1999-06-01,TAS,850
1999-06-01,Total,317060
1999-06-01,VIC,43700
1999-06-01,WA,28140
1999-07-01,ACT,3530
1999-07-01,NSW,154400
1999-07-01,NT,7990
1999-07-01,QLD,125830
1999-07-01,SA,8550
1999-07-01,TAS,1060
1999-07-01,Total,388460
1999-07-01,VIC,53990
1999-07-01,WA,33110
1999-08-01,ACT,1850
1999-08-01,NSW,146360
1999-08-01,NT,5150
1999-08-01,QLD,118290
1999-08-01,SA,7090
1999-08-01,TAS,1020
1999-08-01,Total,355610
1999-08-01,VIC,42860
1999-08-01,WA,33000
1999-09-01,ACT,2950
1999-09-01,NSW,141040
1999-09-01,NT,6380
1999-09-01,QLD,112130
1999-09-01,SA,7780
1999-09-01,TAS,1300
1999-09-01,Total,353130
1999-09-01,VIC,45410
1999-09-01,WA,36070
1999-10-01,ACT,2700
1999-10-01,NSW,153580
1999-10-01,NT,7370
1999-10-01,QLD,114680
1999-10-01,SA,11860
1999-10-01,TAS,1260
1999-10-01,Total,396980
1999-10-01,VIC,64960
1999-10-01,WA,40540
1999-11-01,ACT,3040
1999-11-01,NSW,177560
1999-11-01,NT,4580
1999-11-01,QLD,112260
1999-11-01,SA,10380
1999-11-01,TAS,2180
1999-11-01,Total,416670
1999-11-01,VIC,60860
1999-11-01,WA,45770
1999-12-01,ACT,3450
1999-12-01,NSW,199780
1999-12-01,NT,4930
1999-12-01,QLD,117590
1999-12-01,SA,15770
1999-12-01,TAS,3330
1999-12-01,Total,460780
1999-12-01,VIC,71350
1999-12-01,WA,44350
2000-01-01,ACT,3240
2000-01-01,NSW,155900
2000-01-01,NT,3270
2000-01-01,QLD,88620
2000-01-01,SA,9740
2000-01-01,TAS,2880
2000-01-01,Total,360800
2000-01-01,VIC,60170
2000-01-01,WA,36980
2000-02-01,ACT,3280
2000-02-01,NSW,190020
2000-02-01,NT,4660
2000-02-01,QLD,107660
2000-02-01,SA,11400
2000-02-01,TAS,5620
2000-02-01,Total,434590
2000-02-01,VIC,70240
2000-02-01,WA,41690
2000-03-01,ACT,3160
2000-03-01,NSW,174210
2000-03-01,NT,5990
2000-03-01,QLD,104280
2000-03-01,SA,12370
2000-03-01,TAS,2400
2000-03-01,Total,411860
2000-03-01,VIC,70440
2000-03-01,WA,38910
2000-04-01,ACT,3530
2000-04-01,NSW,177090
2000-04-01,NT,4740
2000-04-01,QLD,113620
2000-04-01,SA,11710
2000-04-01,TAS,2110
2000-04-01,Total,405620
2000-04-01,VIC,57450
2000-04-01,WA,35310
2000-05-01,ACT,2400
2000-05-01,NSW,137840
2000-05-01,NT,4840
2000-05-01,QLD,95140
2000-05-01,SA,6550
2000-05-01,TAS,1020
2000-05-01,Total,319350
2000-05-01,VIC,44090
2000-05-01,WA,27370
2000-06-01,ACT,3710
2000-06-01,NSW,137230
2000-06-01,NT,6490
2000-06-01,QLD,115840
2000-06-01,SA,9140
2000-06-01,TAS,950
2000-06-01,Total,347940
2000-06-01,VIC,44130
